Data;0-39;40-59;60-79;80-89;>= 90
01/05/21;0,49%;5,91%;50,74%;30,54%;12,32%
02/05/21;0;6,39%;47,49%;34,70%;11,42%
03/05/21;1,39%;8,80%;43,52%;35,19%;11,11%
04/05/21;1,57%;5,88%;46,67%;32,16%;13,73%
05/05/21;0,47%;7,55%;43,87%;32,55%;15,57%
06/05/21;0;4,23%;55,56%;31,22%;8,99%
07/05/21;2,09%;5,24%;54,97%;22,51%;15,18%
08/05/21;0;6,86%;48,57%;34,29%;10,29%
09/05/21;0;10,71%;42,86%;30,36%;16,07%
10/05/21;1,02%;7,61%;47,21%;30,96%;13,20%
11/05/21;0,51%;7,14%;46,43%;30,61%;15,31%
12/05/21;0;7,79%;54,55%;21,43%;16,23%
13/05/21;0;4,83%;53,10%;31,72%;10,34%
14/05/21;0;2,72%;55,10%;31,29%;10,88%
15/05/21;0;8,76%;46,72%;27,74%;16,79%
16/05/21;0,79%;5,56%;43,65%;36,51%;13,49%
17/05/21;2,13%;9,93%;51,77%;22,70%;13,48%
18/05/21;0;6,72%;58,82%;23,53%;10,92%
19/05/21;0;6,48%;47,22%;32,41%;13,89%
20/05/21;0,80%;7,20%;53,60%;27,20%;11,20%
21/05/21;2,22%;8,89%;48,89%;28,89%;11,11%
22/05/21;0,92%;11,93%;45,87%;27,52%;13,76%
23/05/21;0;7,78%;54,44%;31,11%;6,67%
24/05/21;1,15%;10,34%;49,43%;26,44%;12,64%
25/05/21;1,10%;8,79%;58,24%;19,78%;12,09%
26/05/21;0;7,32%;56,10%;30,49%;6,10%
27/05/21;0;9,09%;56,82%;20,45%;13,64%
28/05/21;0;6,41%;42,31%;34,62%;16,67%
29/05/21;0;12,33%;38,36%;31,51%;17,81%
30/05/21;2,04%;12,24%;48,98%;26,53%;10,20%
31/05/21;0;12,90%;53,23%;20,97%;12,90%
01/06/21;3,28%;14,75%;54,10%;22,95%;4,92%
02/06/21;0;4,76%;59,52%;28,57%;7,14%
03/06/21;2,86%;8,57%;47,14%;30,00%;11,43%
04/06/21;4,08%;6,12%;61,22%;14,29%;14,29%
05/06/21;3,45%;6,90%;43,10%;27,59%;18,97%
06/06/21;0;5,88%;50,98%;33,33%;9,80%
07/06/21;0;7,69%;50,77%;30,77%;10,77%
08/06/21;0;9,76%;53,66%;24,39%;12,20%
09/06/21;2,44%;7,32%;41,46%;21,95%;26,83%
10/06/21;2,86%;11,43%;42,86%;22,86%;20,00%
11/06/21;6,06%;9,09%;48,48%;24,24%;12,12%
12/06/21;2,70%;16,22%;37,84%;24,32%;18,92%
