Settimana;Data;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-06;8-14 febbraio;Val D'Aosta;2;2;3.077;0,65;-;-;-;-;2;0,95;-;-
2021-06;8-14 febbraio;Lombardia;136;354;178.761;1,98;58;4,65;51;1,78;207;2,09;38;0,99
2021-06;8-14 febbraio;P.A. di Bolzano;6;11;8.008;1,37;2;1,83;4;1,92;4;1,13;1;0,77
2021-06;8-14 febbraio;P. A. di Trento;10;11;12.345;0,89;-;-;-;-;10;1,26;1;0,33
2021-06;8-14 febbraio;Veneto;56;28;71.582;0,39;5;1,13;9;0,83;13;0,32;1;0,06
2021-06;8-14 febbraio;Friuli V.G.;4;6;5.202;1,15;-;-;-;-;1;0,45;5;4,84
2021-06;8-14 febbraio;Liguria;15;54;19.289;2,8;15;11,96;14;4,39;18;1,79;7;1,46
2021-06;8-14 febbraio;Emilia Romagna;27;77;29.967;2,57;32;8,6;21;2,53;24;1,94;-;-
2021-06;8-14 febbraio;Toscana;22;76;36.105;2,1;32;12,18;17;2,53;22;1,28;5;0,52
2021-06;8-14 febbraio;Umbria;10;25;12.067;2,07;8;9,25;13;5,78;4;0,6;-;-
2021-06;8-14 febbraio;Marche;14;13;17.675;0,74;-;-;-;-;13;1,41;-;-
2021-06;8-14 febbraio;Lazio;168;316;209.515;1,51;31;3,8;33;1,58;217;1,66;35;0,71
2021-06;8-14 febbraio;Abruzzo;29;80;33.025;2,42;10;2,74;16;2,24;46;2,83;8;1,34
2021-06;8-14 febbraio;Molise;8;8;6.996;1,14;4;15,38;3;6,22;1;0,23;-;-
2021-06;8-14 febbraio;Campania;15;25;18.335;1,36;5;2,16;11;2,6;9;0,97;-;-
2021-06;8-14 febbraio;Puglia;67;134;87.577;1,53;22;5,89;23;2,81;70;1,28;19;0,9
2021-06;8-14 febbraio;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-06;8-14 febbraio;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-06;8-14 febbraio;Sicilia;122;156;147.299;1,06;19;3,67;28;2,03;80;0,86;29;0,82
2021-06;8-14 febbraio;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-07;15-21 febbraio;Piemonte;45;151;65.301;2,31;13;3,18;27;1,97;96;2,86;15;1,07
